match_id	match_date	opponent	match_result	player	minutes_played	total_passes_under_pressure	completed_passes_under_pressure	ratio_passes_under_pressure	total_progressive_passes	completed_progressive_passes	ratio_progressive_passes	total_long_balls	completed_long_balls	ratio_long_balls	total_line_breaking_passes	completed_line_breaking_passes	ratio_line_breaking_passes	total_crosses	completed_crosses	ratio_crosses	total_through_balls	completed_through_balls	ratio_through_balls	total_passes	completed_passes	ratio_passes	passes_obv	dribbles_obv	carries_obv	sum_obv	goals	assists	second_assists	total_goal_contributions	shots	key_passes	second_assists_to_shots	total_shots_contributions	shots_faced	shots_blocked	clearances	ball_receipt_inside_box	carry_inside_box	pass_inside_box	total_touches_inside_box	total_dribbles	completed_dribbles	ratio_dribbles	total_passes_into_box	completed_passes_into_box	ratio_passes_into_box	total_final_third_passes	completed_final_third_passes	ratio_final_third_passes	shots_on_taget	ratio_shots	shot_conversion	xg	shot_quality	carries_into_final_third	passes_into_final_third	deep_progressions	xa	dispossessed	miscontrols	turnovers	attacking_errors	total_attacking_ball_recoveries	won_attacking_ball_recoveries	ratio_attacking_ball_recoveries	attacking_fouls_won	attacking_fouls_commited	total_attacking_aerials	won_attacking_aerials	ratio_attacking_aerials	total_attacking_50_50	won_attacking_50_50	ratio_attacking_50_50	total_attacking_duels	won_attacking_duels	ratio_attacking_duels	ratio_touches_inside_box_to_shots	xg_chain	xg_buildup	pressures	pressures_oppostion_half	pressures_final_third	avg_pressure_duration	pressure_regains	ratio_pressures	counterpressures	counterpressures_oppostion_half	counterpressures_final_third	avg_counterpressure_duration	counterpressure_regains	ratio_counterpressures	defensive_fouls_won	defensive_fouls_commited	defensive_errors	total_defensive_aerials	won_defensive_aerials	ratio_defensive_aerials	total_defensive_50_50	won_defensive_50_50	ratio_defensive_50_50	total_interceptions	interceptions_won	interceptions_ratio	total_tackles	tackles_won	tackles_ratio	dribbled_past	ratio_tackles_dribbled_past	total_defensive_ball_recoveries	won_defensive_ball_recoveries	ratio_defensive_ball_recoveries	total_defensive_duels	won_defensive_duels	ratio_defensive_duels	total_ball_receptions	successful_ball_receptions	ball_receptions_ratio	total_ball_receptions_under_pressure	successful_ball_receptions_under_pressure	ball_receptions_under_pressure_ratio	pressured_ball_receptions_ratio	total_ball_receptions_in_the_box	successful_ball_receptions_in_the_box	ball_receptions_in_the_box_ratio	box_ball_receptions_ratio	set_piece_clearances	set_piece_shots_faced	set_piece_shots_blocked	set_piece_shots	set_piece_shots_on_taget	set_piece_ratio_shots	set_piece_goals	set_piece_shot_conversion	set_piece_xg	set_piece_shot_quality	set_pieces	shots_set_piece_ratio	set_piece_total_touches_inside_box	touches_inside_box_set_piece_ratio	aggressive_actions_pressures	aggressive_actions_fouls	aggressive_actions_tackles	total_aggressive_actions	dribbles_faced	dribble_stopped_ball_won	dribble_stopped_ball_lost	ratio_dribbles_successfully_defended	defensive_actions_regains_pressures	defensive_actions_regains_interceptions	defensive_actions_regains_blocks	defensive_actions_regains_tackles	defensive_actions_regains_dribbled_past	total_defensive_actions_regains	ball_recovery_inside_box	shot_inside_box	set_piece_ball_recovery_inside_box	set_piece_shot_inside_box	miscontrol_inside_box
3945619	2024-08-01	Caernarfon Town	Won	Wojciech Urbański	35.82	4.0	3.0	0.75	8.0	6.0	0.75	0.0	0.0		0.0	0.0		1.0	1.0	1.0	2.0	1.0	0.5	10.0	8.0	0.8	0.2	-0.01	-0.0	0.2	0.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0			2.0	1.0	0.0	0.0	1.0	1.0	1.0	4.0	3.0	0.75	0.0	0.0	0.0	0.06	0.06	0.0	2.0	2.0	0.2	2.0	1.0	2.0	0.0	0.0	-1.0		0.0	0.0	2.0	1.0	0.5	1.0	1.0	1.0	6.0	2.0	0.33	2.0	0.37	0.32	11.0	7.0	1.0	0.75	3.0	0.27	4.0	3.0	0.0	0.67	0.0		0.0	2.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		4.0	1.0	0.25	0.0		5.0	2.0	0.4	6.0	1.0	0.17	15.0	11.0	0.73	2.0	2.0	1.0	0.13	1.0	1.0	1.0	0.07	0.0	2.0	0.0	0.0	0.0		0.0		0.0		3.0		0.0		7.0	0.0	3.0	10.0	2.0	0.0	2.0	0.0	3.0	0.0	1.0	1.0	0.0	5.0		1.0			
3939418	2024-08-18	RKS Radomiak Radom	Won	Wojciech Urbański	14.58	1.0	0.0	0.0	4.0	3.0	0.75	0.0	0.0		0.0	0.0		1.0	0.0	0.0	0.0	0.0		6.0	4.0	0.67	-0.01	0.0	0.02	0.01	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	5.0	1.0	0.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	0.67	1.0	1.0	1.0	0.13	0.13	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0		0.0	0.0		1.0	1.0	1.0	3.0	0.29	0.16	2.0	1.0	0.0	0.87	0.0	0.0	2.0	1.0	0.0	0.87	0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		1.0	1.0	1.0	0.0	0.0		7.0	6.0	0.86	1.0	1.0	1.0	0.14	1.0	1.0	1.0	0.14	0.0	1.0	0.0	0.0	0.0		0.0		0.0		1.0		0.0		2.0	0.0	0.0	2.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0					
3939453	2024-09-20	Pogoń Szczecin	Lost	Wojciech Urbański	15.62	1.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		3.0	2.0	0.67	-0.03		0.04	0.01	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0		1.0		2.0	0.0	0.0		0.0	0.0		2.0	1.0	0.5	0.0	0.0	0.0	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0		0.0	0.0		1.0	1.0	1.0	2.0	0.02	0.0	2.0	1.0	0.0	0.1	1.0	0.5	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0		0.0	0.0		1.0	0.0	0.0	0.0	0.0		0.0		1.0	1.0	1.0	0.0	0.0		4.0	4.0	1.0	2.0	2.0	1.0	0.5	0.0	0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.02	0.02	5.0	5.0	0.0		2.0	0.0	0.0	2.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	1.0	1.0				
3939464	2024-09-28	Górnik Zabrze	Draw	Wojciech Urbański	15.05	2.0	1.0	0.5	2.0	0.0	0.0	0.0	0.0		2.0	0.0	0.0	0.0	0.0		0.0	0.0		6.0	4.0	0.67	-0.02		0.02	-0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0			2.0	0.0	0.0		1.0	0.0	0.0	4.0	2.0	0.5	1.0	1.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	2.0	0.06	0.06	6.0	6.0	5.0	0.49	3.0	0.5	2.0	2.0	2.0	0.34	1.0	2.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		1.0	1.0	1.0	1.0	0.0	0.0	5.0	5.0	1.0	1.0	1.0	1.0	0.2	1.0	1.0	1.0	0.2	0.0	1.0	0.0	0.0	0.0		0.0		0.0		4.0		0.0		3.0	0.0	0.0	3.0	0.0	0.0	0.0		3.0	0.0	0.0	0.0	0.0	3.0		1.0			
3939469	2024-10-06	Jagiellonia Białystok	Draw	Wojciech Urbański	10.22	1.0	1.0	1.0	2.0	2.0	1.0	0.0	0.0		1.0	1.0	1.0	0.0	0.0		1.0	1.0	1.0	2.0	2.0	1.0	0.12	0.0	0.01	0.13	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0			0.0		1.0	0.0	1.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0		2.0	1.0	0.5		0.08	0.08	3.0	3.0	2.0	0.42	1.0	0.33	1.0	1.0	0.0	0.57	1.0	1.0	0.0	1.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		0.0	0.0		1.0	0.0	0.0	3.0	1.0	0.33	0.0	0.0		0.0	1.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0		0.0		0.0		3.0		0.0		1.0	1.0	0.0	2.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0	0.0	1.0					
3939482	2024-10-18	Lechia Gdańsk	Won	Wojciech Urbański	53.07	3.0	3.0	1.0	14.0	12.0	0.86	4.0	3.0	0.75	5.0	5.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	19.0	17.0	0.89	0.11		0.01	0.11	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	6.0	0.0	0.0	1.0			2.0	0.0	0.0		2.0	1.0	0.5	10.0	8.0	0.8	1.0	1.0	0.0	0.24	0.24	1.0	3.0	4.0	0.11	1.0	3.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0		0.0	0.0		3.0	1.0	0.33	2.0	0.67	0.43	16.0	15.0	10.0	1.1	4.0	0.25	3.0	3.0	1.0	1.6	0.0		1.0	3.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		2.0	2.0	1.0	4.0	1.0	0.25	23.0	22.0	0.96	4.0	4.0	1.0	0.17	1.0	1.0	1.0	0.04	0.0	2.0	0.0	0.0	0.0		0.0		0.0		3.0		0.0		13.0	2.0	0.0	15.0	0.0	0.0	0.0		4.0	0.0	0.0	0.0	0.0	4.0		1.0			
3939489	2024-10-27	GKS Katowice	Won	Wojciech Urbański	79.18	9.0	8.0	0.89	19.0	17.0	0.89	4.0	3.0	0.75	0.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	31.0	29.0	0.94	0.1	0.0	0.01	0.12	0.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	7.0	0.0	1.0	1.0		1.0	4.0	1.0	1.0	1.0	3.0	2.0	0.67	14.0	13.0	0.93	0.0	0.0	0.0	0.04	0.04	1.0	3.0	4.0	0.15	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		4.0	1.0	0.25	4.0	2.72	2.67	20.0	12.0	5.0	0.81	4.0	0.2	3.0	3.0	1.0	0.45	1.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0		2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	5.0	2.0	0.4	6.0	2.0	0.33	31.0	25.0	0.81	2.0	2.0	1.0	0.06	1.0	1.0	1.0	0.03	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.04	0.04	19.0	19.0	2.0	9.5	13.0	0.0	1.0	14.0	2.0	1.0	0.0	0.5	4.0	1.0	0.0	0.0	0.0	5.0	1.0	1.0	1.0	1.0	
3939499	2024-11-03	Widzew Łódź	Won	Wojciech Urbański	29.23	1.0	1.0	1.0	4.0	2.0	0.5	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		6.0	3.0	0.5	-0.01		0.03	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0				0.0	0.0	0.0		0.0	0.0		6.0	3.0	0.5	0.0			0.0		1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0		1.0	0.0	0.0	0.0		0.0	0.0		2.0	1.0	0.5		0.02	0.02	10.0	9.0	8.0	0.9	2.0	0.2	2.0	2.0	1.0	0.95	1.0	2.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		2.0	2.0	1.0	0.0	0.0		6.0	6.0	1.0	1.0	1.0	1.0	0.17	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0		8.0		0.0		6.0	0.0	0.0	6.0	0.0	0.0	0.0		2.0	0.0	0.0	0.0	0.0	2.0					
3939507	2024-11-10	Lech Poznan	Lost	Wojciech Urbański	28.22	0.0	0.0		1.0	1.0	1.0	0.0	0.0		0.0	0.0		0.0	0.0		1.0	1.0	1.0	2.0	2.0	1.0	0.02	0.0	-0.16	-0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0		3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0			0.0		0.0	0.0	0.0	0.0	2.0	3.0	3.0	0.0	0.0	0.0		0.0	0.0	1.0	1.0	1.0	0.0	0.0		4.0	2.0	0.5		0.02	0.02	12.0	10.0	7.0	0.82	4.0	0.33	3.0	3.0	2.0	0.89	0.0		0.0	2.0	0.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0		0.0	0.0		2.0	0.0	0.0	9.0	7.0	0.78	2.0	2.0	1.0	0.22	1.0	1.0	1.0	0.11	0.0	0.0	0.0	0.0	0.0		0.0		0.0		4.0		0.0		3.0	0.0	0.0	3.0	0.0	0.0	0.0		4.0	0.0	0.0	0.0	0.0	4.0					1.0
3939518	2024-11-23	Cracovia Kraków	Won	Wojciech Urbański	57.17	3.0	3.0	1.0	16.0	11.0	0.69	1.0	1.0	1.0	6.0	2.0	0.33	1.0	0.0	0.0	0.0	0.0		35.0	28.0	0.8	0.05	-0.01	0.03	0.07	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	1.0	1.0			2.0	1.0	0.0	0.0	1.0	1.0	1.0	9.0	8.0	0.89	1.0	1.0	1.0	0.17	0.17	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0		4.0	0.0	0.0	2.0	0.28	0.28	14.0	5.0	2.0	0.93	3.0	0.21	2.0	1.0	0.0	1.8	0.0		0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	0.0		6.0	4.0	0.67	4.0	1.0	0.25	31.0	27.0	0.87	0.0	0.0		0.0	1.0	1.0	1.0	0.03	0.0	1.0	0.0	0.0	0.0		0.0		0.0		8.0		0.0		7.0	1.0	1.0	9.0	0.0	0.0	0.0		3.0	0.0	0.0	0.0	0.0	3.0		1.0			
