player_name	team_name	match_name	match_date	competition_name	minutes_played_per_match	count_pressures_received_per_match	count_forced_losses_under_pressure_per_match	count_ball_retentions_under_pressure_per_match	count_difficult_pass_attempts_under_pressure_per_match	count_completed_difficult_passes_under_pressure_per_match	count_pass_attempts_under_pressure_per_match	count_completed_passes_under_pressure_per_match	count_dangerous_pass_attempts_under_pressure_per_match	count_completed_dangerous_passes_under_pressure_per_match
Adrian Blad	GKS Katowice	Cracovia v GKS Katowice	2024-11-09	POL - Ekstraklasa	103.37	29	7	22	4	3	26	20	2	2
Adrian Blad	GKS Katowice	Legia Warszawa v GKS Katowice	2024-10-27	POL - Ekstraklasa	72.95	15	5	10	2	1	10	8	3	2
Adrian Blad	GKS Katowice	MKS Puszcza Niepołomice v GKS Katowice	2024-10-04	POL - Ekstraklasa	91.43	27	9	18	6	3	22	14	4	3
Adrian Blad	GKS Katowice	GKS Katowice v Korona Kielce	2024-11-04	POL - Ekstraklasa	103.85	30	13	17	2	0	26	15	3	1
Adrian Blad	GKS Katowice	GKS Katowice v WKS Slask Wrocław	2024-10-20	POL - Ekstraklasa	89.88	18	2	16	1	1	16	14	3	3
Ali Gholizadeh	Lech Poznan	Widzew Łódź v Lech Poznań	2024-07-27	POL - Ekstraklasa	26.4	14	1	13	2	1	9	8	1	0
Alexander Gorgon	Pogoń Szczecin	Pogoń Szczecin v RKS Radomiak Radom	2024-11-08	POL - Ekstraklasa	34.1	11	0	11	1	1	8	8	2	2
Ajdin Hasić	Cracovia Kraków	Piast Gliwice v Cracovia	2024-12-08	POL - Ekstraklasa	71.32	28	7	21	4	2	15	12	2	1
Ajdin Hasić	Cracovia Kraków	Cracovia v Motor Lublin SA	2024-10-26	POL - Ekstraklasa	88.02	32	4	28	5	5	20	19	4	4
Ajdin Hasić	Cracovia Kraków	Cracovia v Zagłębie Lubin	2024-11-29	POL - Ekstraklasa	74.87	42	13	29	5	0	29	22	6	2
Antoni Klimek	Widzew Łódź	Widzew Łódź v Piast Gliwice	2024-09-21	POL - Ekstraklasa	23.95	2	1	1	0	0	2	1	0	0
Adrian Przyborek	Pogoń Szczecin	Pogoń Szczecin v RKS Radomiak Radom	2024-11-08	POL - Ekstraklasa	62.37	22	7	15	2	0	17	12	3	2
Adam Radwański	Zagłębie Lubin	Piast Gliwice v Zagłębie Lubin	2024-08-24	POL - Ekstraklasa	51.37	19	9	10	9	4	15	8	1	1
Adam Radwański	Zagłębie Lubin	Zagłębie Lubin v GKS Katowice	2024-08-31	POL - Ekstraklasa	40.87	18	5	13	4	3	11	9	3	3
Adam Radwański	Zagłębie Lubin	Zagłębie Lubin v MKS Puszcza Niepołomice	2024-08-02	POL - Ekstraklasa	8.55	3	0	3	1	1	3	3	1	1
Anton Tsarenko	Lechia Gdańsk	GKS Katowice v Lechia Gdańsk	2024-11-30	POL - Ekstraklasa	55.15	11	1	10	1	0	7	6	2	1
Anton Tsarenko	Lechia Gdańsk	Piast Gliwice v Lechia Gdańsk	2024-10-25	POL - Ekstraklasa	62.97	11	2	9	1	0	10	8	1	0
Anton Tsarenko	Lechia Gdańsk	Lechia Gdańsk v Pogoń Szczecin	2024-11-23	POL - Ekstraklasa	47.12	23	2	21	2	1	18	17	3	2
Adriano Luis Amorim Santos	Raków Częstochowa	Widzew Łódź v KS Raków Czestochowa	2024-11-30	POL - Ekstraklasa	50.15	11	6	5	1	0	6	3	2	0
Adriano Luis Amorim Santos	Raków Częstochowa	KS Raków Czestochowa v FKS Stal Mielec	2024-11-02	POL - Ekstraklasa	72.92	21	6	15	4	1	9	5	2	1
Adriano Luis Amorim Santos	Raków Częstochowa	KS Raków Czestochowa v Zagłębie Lubin	2024-09-22	POL - Ekstraklasa	28.87	7	2	5	1	0	4	3	2	2
Afonso Sousa	Lech Poznan	Cracovia v Lech Poznań	2024-10-19	POL - Ekstraklasa	76.58	27	6	21	6	4	22	17	5	4
Afonso Sousa	Lech Poznan	KS Gornik Zabrze v Lech Poznań	2024-12-06	POL - Ekstraklasa	102.3	36	5	31	3	3	25	23	5	4
Afonso Sousa	Lech Poznan	KS Raków Czestochowa v Lech Poznań	2024-08-09	POL - Ekstraklasa	93.33	26	2	24	2	1	23	21	3	1
Afonso Sousa	Lech Poznan	Korona Kielce v Lech Poznań	2024-09-29	POL - Ekstraklasa	74.83	19	4	15	1	0	11	9	2	2
Afonso Sousa	Lech Poznan	Piast Gliwice v Lech Poznań	2024-11-29	POL - Ekstraklasa	80.4	24	4	20	1	0	18	16	2	0
Afonso Sousa	Lech Poznan	Widzew Łódź v Lech Poznań	2024-07-27	POL - Ekstraklasa	73.6	18	3	15	2	1	15	14	2	1
Afonso Sousa	Lech Poznan	Lech Poznań v GKS Katowice	2024-11-23	POL - Ekstraklasa	59.43	24	3	21	2	2	18	15	6	5
Afonso Sousa	Lech Poznan	Lech Poznań v Jagiellonia Białystok	2024-09-14	POL - Ekstraklasa	64.02	21	2	19	3	3	15	14	5	4
Afonso Sousa	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	67.35	19	4	15	2	1	12	11	3	3
Afonso Sousa	Lech Poznan	Lech Poznań v Lechia Gdańsk	2024-08-03	POL - Ekstraklasa	74.58	36	7	29	5	3	24	20	7	5
Afonso Sousa	Lech Poznan	Lech Poznań v Legia Warszawa	2024-11-10	POL - Ekstraklasa	73.8	22	7	15	3	0	14	10	5	4
Afonso Sousa	Lech Poznan	Lech Poznań v Motor Lublin SA	2024-10-05	POL - Ekstraklasa	84.4	44	9	35	7	3	40	32	6	4
Afonso Sousa	Lech Poznan	Lech Poznań v Pogoń Szczecin	2024-08-25	POL - Ekstraklasa	81.82	19	4	15	4	1	13	10	5	2
Afonso Sousa	Lech Poznan	Lech Poznań v WKS Slask Wrocław	2024-09-22	POL - Ekstraklasa	83.8	17	3	14	2	1	13	11	6	5
Amir Al-Ammari	Cracovia Kraków	Piast Gliwice v Cracovia	2024-12-08	POL - Ekstraklasa	22.2	1	0	1	0	0	1	1	0	0
Bryan Solhaug Fiabema	Lech Poznan	Lech Poznań v WKS Slask Wrocław	2024-09-22	POL - Ekstraklasa	30.62	10	5	5	1	0	5	3	2	1
Benjamin Källman	Cracovia Kraków	Korona Kielce v Cracovia	2024-08-10	POL - Ekstraklasa	94.77	14	7	7	2	1	6	5	1	1
Bartosz Nowak	GKS Katowice	Legia Warszawa v GKS Katowice	2024-10-27	POL - Ekstraklasa	67.47	21	12	9	4	1	11	5	2	1
Bartosz Nowak	GKS Katowice	MKS Puszcza Niepołomice v GKS Katowice	2024-10-04	POL - Ekstraklasa	91.43	30	9	21	4	3	19	15	8	5
Bartosz Nowak	GKS Katowice	GKS Katowice v Korona Kielce	2024-11-04	POL - Ekstraklasa	53.28	18	9	9	7	3	14	8	3	2
Bartosz Nowak	GKS Katowice	GKS Katowice v WKS Slask Wrocław	2024-10-20	POL - Ekstraklasa	94.55	21	7	14	3	2	15	12	4	4
Burak İnce	Śląsk Wrocław	Lechia Gdańsk v WKS Slask Wrocław	2024-12-07	POL - Ekstraklasa	39.23	6	0	6	0	0	5	5	0	0
Borja Galán	GKS Katowice	Legia Warszawa v GKS Katowice	2024-10-27	POL - Ekstraklasa	24.28	6	3	3	0	0	2	1	0	0
Dawid Błanik	Korona Kielce	KS Raków Czestochowa v Korona Kielce	2024-11-24	POL - Ekstraklasa	66.18	9	3	6	0	0	6	5	0	0
Dawid Błanik	Korona Kielce	Korona Kielce v Lechia Gdańsk	2024-11-09	POL - Ekstraklasa	31.85	6	1	5	0	0	2	2	0	0
