player_name	team_name	match_name	match_date	competition_name	minutes_played_per_match	count_opportunities_to_pass_to_runs_per_match	count_pass_attempts_to_runs_per_match	count_completed_pass_to_runs_per_match	count_runs_by_teammate_per_match	count_completed_pass_to_runs_leading_to_shot_per_match	count_completed_pass_to_runs_leading_to_goal_per_match	count_pass_opportunities_to_dangerous_runs_per_match	count_pass_attempts_to_dangerous_runs_per_match	count_completed_pass_to_dangerous_runs_per_match
Sirlord Calvin Conteh	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	64.37	5	5	4	8	1	1	3	3	2
Leonardo Weschenfelder-Scienza	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	33.12	2	2	1	4	0	0	0	0	0
Ali Youssef	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	87.0	5	1	1	8	0	0	2	1	1
Maximilian Breunig 	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	19.85	1	1	1	1	1	1	1	1	1
Mikkel Kaufmann Sørensen	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	77.63	10	7	3	13	1	0	7	5	2
Srdjan Hrstić	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	10.48	1	1	1	2	0	0	1	1	1
Even Hovland	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	21	9	6	25	0	0	0	0	0
Marius Lode	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	13	6	6	15	0	0	0	0	0
Patrick Mainka	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	6	4	3	7	0	0	0	0	0
Tim Siersleben	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	10	5	5	13	0	0	1	0	0
Norman Theuerkauf	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	83.55	12	7	6	18	1	0	3	2	2
Adam Lundkvist	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	88.35	11	6	5	15	1	0	3	0	0
Jacob Barrett Laursen	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	9.13	0	0	0	0	0	0	0	0	0
Marnon Busch	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	12	6	3	20	0	0	1	1	0
Jonas Föhrenbach	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	13.93	0	0	0	0	0	0	0	0	0
Julius Lindberg	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	14	8	6	22	2	1	4	2	2
Mikkel Rygaard Jensen	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	24	12	9	34	2	1	4	1	1
Simon Gustafson	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	23	14	10	33	1	0	6	3	0
Mathias Honsak	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	33.12	1	1	1	1	0	0	0	0	0
Marvin Pieringer	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	64.37	7	7	5	15	2	0	4	4	2
Luca Kerber	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	7	3	0	11	0	0	3	2	0
Romeo Amane	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	91.55	20	12	11	31	1	0	8	3	2
Denis Thomalla	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	64.37	3	2	2	5	1	0	1	0	0
Lennard Maloney	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	5	5	4	7	0	0	1	1	1
Zeidane Inoussa	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	11	6	5	13	1	0	4	1	1
Jeremy Nosakhare Agbonifo	BK Hacken	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	97.48	7	6	6	13	1	0	3	2	2
Paul Wanner	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v BK Hacken	2024-08-29	UEFA - Europa Conference League	33.12	3	3	3	7	3	1	2	2	2
Maximilian Breunig 	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v Chelsea	2024-11-28	UEFA - Europa Conference League	29.42	0	0	0	0	0	0	0	0	0
Mikkel Kaufmann Sørensen	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v Chelsea	2024-11-28	UEFA - Europa Conference League	79.23	3	3	1	5	0	0	1	1	0
Marc Guiu Paz	Chelsea	1. FC Heidenheim 1846 v Chelsea	2024-11-28	UEFA - Europa Conference League	63.28	7	5	4	10	1	0	1	1	0
Patrick Mainka	1. FC Heidenheim 1846	1. FC Heidenheim 1846 v Chelsea	2024-11-28	UEFA - Europa Conference League	98.67	8	5	5	13	0	0	0	0	0
