player_name	team_name	match_name	match_date	competition_name	minutes_played_per_match	Distance	Running Distance	HSR Distance	HSR Count	Sprint Distance	Sprint Count	HI Distance	HI Count
Ádám Gyurcsó	AEK Larnaca FC	Paksi SE v AEK Larnaca FC	2024-07-25	UEFA - Europa Conference League	59.63	6987.0	1048.0	447.0	42.0	173.0	7.0	620.0	49.0
Adrien Thomasson	RC Lens	RC Lens v Panathinaikos Athens	2024-08-22	UEFA - Europa Conference League	94.62	12650.0	2877.0	819.0	77.0	195.0	9.0	1014.0	86.0
Adrien Thomasson	RC Lens	Panathinaikos Athens v RC Lens	2024-08-29	UEFA - Europa Conference League	98.4	12609.0	2633.0	1017.0	71.0	154.0	10.0	1171.0	81.0
Ahmed El Messaoudi	Tobol Kostanay	Tobol Kostanay v FC St. Gallen	2024-08-01	UEFA - Europa Conference League	72.58	8776.0	1417.0	437.0	39.0	23.0	2.0	460.0	41.0
Ahmed El Messaoudi	Tobol Kostanay	FC St. Gallen v Tobol Kostanay	2024-07-25	UEFA - Europa Conference League	101.33	11467.0	1730.0	583.0	46.0	153.0	7.0	736.0	53.0
Alan Uryga	Wisła Kraków	FC Spartak Trnava v Wisła Kraków	2024-08-08	UEFA - Europa Conference League	98.83	10751.0	1397.0	433.0	38.0	186.0	9.0	619.0	47.0
Alan Uryga	Wisła Kraków	Wisła Kraków v FC Spartak Trnava	2024-08-15	UEFA - Europa Conference League	102.17	10134.0	1160.0	404.0	36.0	110.0	6.0	514.0	42.0
Alan Uryga	Wisła Kraków	Wisła Kraków v KSV Cercle Brugge	2024-08-22	UEFA - Europa Conference League	98.52	10370.0	1408.0	473.0	34.0	95.0	4.0	568.0	38.0
Alan Uryga	Wisła Kraków	KSV Cercle Brugge v Wisła Kraków	2024-08-29	UEFA - Europa Conference League	96.65	9881.0	1150.0	252.0	30.0	49.0	4.0	301.0	34.0
Albin Ekdal	Djurgardens IF	Djurgardens IF v FC Progres Niederkorn	2024-07-25	UEFA - Europa Conference League	14.7	1884.0	334.0	85.0	9.0	8.0	1.0	93.0	10.0
Aldo Kalulu Kyatengwa	FK Partizan	KAA Gent v FK Partizan	2024-08-28	UEFA - Europa Conference League	99.75	9853.0	1357.0	576.0	59.0	190.0	9.0	766.0	68.0
Aleksandar Trajkovski	HNK Hajduk Split	MFK Ruzomberok v HNK Hajduk Split	2024-08-08	UEFA - Europa Conference League	36.02	4133.0	705.0	163.0	19.0	66.0	5.0	229.0	24.0
Aleksandar Trajkovski	HNK Hajduk Split	HNK Hajduk Split v MFK Ruzomberok	2024-08-15	UEFA - Europa Conference League	103.02	11656.0	1484.0	483.0	41.0	98.0	7.0	581.0	48.0
Anastasios Donis	Apoel Nicosia FC	Apoel Nicosia FC v Fiorentina	2024-11-07	UEFA - Europa Conference League	81.35	7814.0	679.0	492.0	63.0	511.0	18.0	1003.0	81.0
