player_name	team_name	match_name	match_date	competition_name	minutes_played_per_match	count_runs_per_match	count_dangerous_runs_per_match	count_runs_leading_to_goal_per_match	count_runs_targeted_per_match	count_runs_received_per_match	count_runs_leading_to_shot_per_match	count_dangerous_runs_targeted_per_match	count_dangerous_runs_received_per_match
Alvis Jaunzems	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	89.58	18	3	0	6	4	0	1	0
Antoni Klimek	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	65.02	15	10	0	7	4	0	4	1
Bert Esselink	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	8	0	0	7	7	0	0	0
Dawid Tkacz	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	10.65	5	3	0	1	0	0	1	0
Fran Álvarez	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	83.47	19	8	1	7	6	3	3	2
Fryderyk Gerbowski	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	89.58	17	5	0	8	5	1	1	0
Hilary Gong	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	35.22	4	0	0	3	2	1	0	0
Hubert Sobol	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	8.35	1	1	0	1	1	0	1	1
Ilya Shkurin	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	84.12	11	4	0	6	4	0	2	1
Imad Rondić	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	91.88	39	29	0	9	7	0	4	2
Jakub Sypek	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	65.02	15	8	0	4	1	0	3	1
Jakub Łukowski	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	35.22	8	2	1	6	1	1	2	0
Juan Fernández	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	83.47	7	0	0	1	1	0	0	0
Kamil Cybulski	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	65.02	11	4	0	3	2	0	0	0
Koki Hinokio	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	22.03	13	5	0	1	1	1	0	0
Krystian Getinger	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	84.12	10	1	0	8	7	0	0	0
Krzysztof Wołkowicz	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	16.12	7	4	0	4	2	0	2	0
Lirim Kastrati II	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	23	0	0	11	10	0	0	0
Luís Silva	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	16.77	2	1	0	1	0	0	1	0
Maciej Domański	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	78.2	22	5	0	7	5	0	1	0
Marek Hanousek	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	10	0	0	2	2	0	0	0
Marvin Senger	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	15	2	0	6	5	0	1	1
Mateusz Matras	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	2	0	0	1	1	0	0	0
Mateusz Stępień	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	10.65	2	1	0	2	1	0	1	1
Mateusz Żyro	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	5	0	0	3	3	0	0	0
Matthew Guillaumier	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	18	5	0	8	4	0	1	0
Piotr Wlazło	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	11	1	0	2	2	0	0	0
Rave Assayag	Stal Mielec	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	16.12	9	8	0	2	0	0	2	0
Samuel Kozlovský	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	100.23	31	10	0	6	6	0	1	1
Sebastian Kerk	Widzew Łódź	FKS Stal Mielec v Widzew Łódź	2024-07-22	POL - Ekstraklasa	35.22	16	5	0	5	5	0	2	2
Adriel D'Avila Ba Loua	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	67.35	27	10	0	7	5	1	3	2
Afonso Sousa	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	67.35	31	22	0	8	6	1	5	3
Aleksander Buksa	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	49.2	25	13	0	9	4	0	5	2
Alex Raymond Douglas	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	7	0	0	2	2	0	0	0
Ali Gholizadeh	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	32.98	12	3	0	2	1	0	0	0
Antoni Kozubal	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	76.4	24	10	0	9	6	2	5	4
Antonio Milić	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	7	0	0	1	1	0	0	0
Bryan Solhaug Fiabema	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	10.43	4	3	0	1	1	0	0	0
Damian Rasak	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	19	3	0	8	8	2	1	1
Dino Hotić	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	32.98	11	5	0	4	3	0	1	1
Elias Andersson	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	26	1	0	10	9	0	0	0
Filipe Nascimento	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	51.13	10	1	0	5	5	0	0	0
Jesper Karlström	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	12	4	0	7	6	2	3	3
Joel Pereira	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	22	4	0	9	7	1	0	0
Josema Sánchez	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	10	0	0	4	4	0	0	0
Kamil Lukoszek	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	30	4	0	14	11	1	2	2
Kristoffer Velde	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	42	21	0	16	9	3	7	4
Luka Zahovič	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	51.13	15	11	0	3	1	0	1	1
Lukas Podolski	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	86.68	17	6	0	4	4	0	0	0
Lukáš Ambros	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	28.15	13	3	0	1	1	0	0	0
Manu Sánchez	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	32	0	0	13	10	1	0	0
Mikael Ishak	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	89.9	24	16	0	11	9	4	6	4
Nikodem Zielonka	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	51.13	10	1	0	6	4	1	1	1
Norbert Wojtuszek	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	13.65	3	0	0	1	1	0	0	0
Patrik Hellebrand	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	49.2	15	0	0	8	8	0	0	0
Paweł Olkowski	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	49.2	16	9	0	5	3	0	1	0
Radosław Murawski	Lech Poznan	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	23.93	2	0	0	2	2	0	0	0
Rafal Janicki	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	100.33	5	0	0	4	4	0	0	0
Soichiro Kozuki	Górnik Zabrze	Lech Poznań v KS Gornik Zabrze	2024-07-21	POL - Ekstraklasa	72.18	20	4	0	4	4	0	0	0
Amir Al-Ammari	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	54.67	15	2	0	5	4	0	1	1
Ariel Mosór	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	10	0	0	2	2	0	0	0
Arkadiusz Pyrka	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	9	2	0	6	4	0	1	1
Benjamin Källman	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	44	12	0	14	10	0	4	2
Damian Kądzior	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	4.05	2	0	0	2	2	0	0	0
Davíd Kristján Ólafsson	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	12	0	0	6	6	0	0	0
Fabian Piasecki	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	79.78	20	14	0	8	3	1	6	3
Filip Rózga	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	49.18	10	3	0	4	4	0	2	2
Gabriel Kirejczyk	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	24.07	10	8	0	2	2	0	0	0
Grzegorz Tomasiewicz	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	99.8	17	2	0	7	6	0	0	0
Jakub Czerwiński	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	5	0	0	0	0	0	0	0
Jorge Félix	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	94.4	30	14	0	10	9	3	4	3
Kamil Glik	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	1	0	0	1	1	0	0	0
Karol Knap	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	49.18	15	3	0	6	3	0	1	0
Mateusz Bochnak	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	23.88	3	2	0	1	0	0	1	0
Michael Ameyaw	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	39	21	0	19	13	4	8	6
Michał Chrapek	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	79.78	27	10	0	12	8	0	4	3
Michał Rakoczy	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	20	6	0	7	4	0	3	3
Mick van Buren	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	54.67	30	6	0	6	2	0	0	0
Mikkel Maigaard	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	34.63	8	1	0	1	0	0	0	0
Miłosz Szczepański	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	24.07	8	6	0	2	1	0	1	0
Otar Kakabadze	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	79.97	13	0	0	3	3	0	0	0
Patryk Dziczek	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	16	2	0	7	7	0	1	1
Patryk Sokołowski	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	69.22	11	2	0	2	2	0	1	1
Paweł Jaroszyński	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	79.97	21	1	0	7	6	0	0	0
Tihomir Kostadinov	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	9.45	7	4	0	3	2	0	1	0
Tomáš Huk	Piast Gliwice	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	12	2	0	4	3	1	0	0
Virgil Eugen Ghiță	Cracovia Kraków	Cracovia v Piast Gliwice	2024-07-21	POL - Ekstraklasa	103.85	7	0	0	2	2	0	0	0
Adam Radwański	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	9.52	5	0	0	4	4	1	0	0
Aleks Ławniczak	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	96.32	4	0	0	3	3	0	0	0
Artur Jędrzejczyk	Legia Warszawa	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	18.23	2	0	0	0	0	0	0	0
Bartosz Kapustka	Legia Warszawa	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	78.08	29	8	0	11	9	2	1	1
Bartosz Kopacz	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	96.32	10	0	0	4	4	0	0	0
Damian Dąbrowski	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	96.32	11	0	0	6	6	1	0	0
Dawid Kurminowski	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	66.3	13	5	0	6	3	1	3	2
Igor Orlikowski	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	41.53	1	0	0	1	1	0	0	0
Igor Strzałek	Legia Warszawa	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	18.23	8	2	0	2	1	0	0	0
Jan Ziółkowski	Legia Warszawa	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	64.68	4	0	0	2	2	0	0	0
Claude Gonçalves	Legia Warszawa	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	96.32	16	5	0	3	2	0	0	0
Luquinhas	Legia Warszawa	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	96.32	25	13	0	9	6	1	2	1
Luís Mata	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	96.32	19	1	0	7	7	0	0	0
Marc Gual	Legia Warszawa	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	96.32	23	17	0	8	3	1	7	2
Marek Mróz	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	54.78	20	6	0	3	2	0	1	0
Mateusz Grzybek	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	30.02	5	2	0	1	1	0	0	0
Mateusz Wdowiak	Zagłębie Lubin	Legia Warszawa v Zagłębie Lubin	2024-07-20	POL - Ekstraklasa	66.3	23	10	0	8	6	1	5	3
